name,brand,price,processor,ram,storage,battery,charging
Tecno Spark GO 1 3GB/64GB,Tecno,1990000,Unisoc T615 8 nhân,3 GB,64 GB,5000 mAh,15 W
OPPO Reno12 F 8GB/256GB,OPPO,7290000,,8 GB,256 GB,5000 mAh,45 W
vivo Y19s 6GB/128GB,vivo,4290000,Unisoc Tiger T612,6 GB,128 GB,5500 mAh,15 W
HONOR X8b 8GB/512GB,HONOR,5690000,,8 GB,512 GB,4500 mAh,35 W
HONOR X6b 6GB/128GB Tím,HONOR,3590000,,6 GB,128 GB,5200 mAh,35 W
iPhone 13 128GB,iPhone,11990000,,4 GB,128 GB,3240 mAh,20 W
iPhone 12 64GB,iPhone,10590000,,4 GB,64 GB,2815 mAh,20 W
Xiaomi Redmi 13 6GB/128GB,Xiaomi,3690000,MediaTek Helio G91 Ultra 8 nhân,6 GB,128 GB,5030 mAh,33 W
Xiaomi Redmi A3 3GB/64GB,Xiaomi,2090000,,3 GB,64 GB,5000 mAh,10 W
Samsung Galaxy S25 5G 12GB/256GB,Samsung,19290000,Qualcomm Snapdragon 8 Elite For Galaxy 8 nhân,12 GB,256 GB,4000 mAh,25 W
Xiaomi Redmi 14C 6GB/128GB,Xiaomi,3390000,MediaTek Helio G81-Ultra 8 nhân,6 GB,128 GB,5160 mAh,18 W
OPPO Find X8 5G 16GB/512GB Hồng,OPPO,21990000,MediaTek Dimensity 9400 8 nhân,16 GB,512 GB,5630 mAh,80 W
OPPO Find X8 Pro 5G 16GB/512GB,OPPO,25990000,MediaTek Dimensity 9400 8 nhân,16 GB,512 GB,5910 mAh,80 W
realme 12 8GB/256GB,realme,6390000,,8 GB,256 GB,5000 mAh,67 W
vivo Y04 4GB/128GB,vivo,2990000,Unisoc T7225 8 nhân,4 GB,,5500 mAh,15 W
realme Note 60x 4GB/64GB,realme,2990000,Unisoc Tiger T612,4 GB,64 GB,5000 mAh,10 W
vivo V30e 5G 12GB/256GB,vivo,8990000,Snapdragon 6 Gen 1 8 nhân,12 GB,256 GB,5500 mAh,44 W
realme Note 50 3GB/64GB,realme,2490000,Unisoc Tiger T612,3 GB,64 GB,5000 mAh,10 W
vivo V30 5G 12GB/512GB,vivo,12790000,Snapdragon 7 Gen 3 8 nhân,12 GB,512 GB,5000 mAh,80 W
realme Note 60 6GB/128GB,realme,3790000,Unisoc Tiger T612,6 GB,128 GB,5000 mAh,10 W
realme C61 4GB/128GB,realme,3490000,Unisoc Tiger T612,4 GB,128 GB,5000 mAh,15 W
OPPO Reno13 F 5G 8GB/256GB,OPPO,9990000,Snapdragon 6 Gen 1 5G 8 nhân,8 GB,256 GB,5800 mAh,45 W
Nokia 105 4G Pro,Nokia,680000,Unisoc T107 8 nhân,48 MB,128 MB,1450 mAh,2.75 W
Viettel Sumo 4G T2,Viettel,550000,Unisoc T107,48 MB,128 MB,1400 mAh,2.5 W
Xiaomi Redmi 13x 6GB/128GB,Xiaomi,3990000,MediaTek Helio G91 Ultra 8 nhân,6 GB,,5030 mAh,33 W
Mobell M239 4G,Mobell,420000,Unisoc UMS9117-L,48 MB,128 MB,1000 mAh,2.5 W
Masstel IZI 10,Masstel,410000,Unisoc UMS9117,48 MB,128 MB,1000 mAh,
Nokia 220 4G,Nokia,990000,Unisoc T107 8 nhân,64 MB,128 MB,1450 mAh,Hãng không công bố
Nokia HMD 105 4G,Nokia,650000,,,128 MB,1450 mAh,Hãng không công bố
Masstel IZI T6 4G,Masstel,500000,Unisoc T107 8 nhân,48 MB,128 MB,1800 mAh,2.5 W
Benco 4G G3,Benco,380000,Unisoc T107,48 MB,128 MB,1000 mAh,2.5 W
Masstel Fami 50 4G,Masstel,600000,Unisoc T107 8 nhân,48 MB,128 MB,1750 mAh,2.5 W
iPhone 16 Pro 128GB,iPhone,25490000,Apple A18 Pro 6 nhân,8 GB,128 GB,27 giờ,20 W
Nokia 110 4G Pro,Nokia,750000,Unisoc T107 8 nhân,48 MB,128 MB,1450 mAh,5 W
vivo Y28 8GB/128GB,vivo,5090000,,8 GB,128 GB,6000 mAh,44 W
OPPO Reno12 5G 12GB/256GB Hồng,OPPO,9490000,MediaTek Dimensity 7300-Energy 5G 8 nhân,12 GB,256 GB,5000 mAh,80 W
OPPO Reno12 5G 12GB/512GB,OPPO,12490000,MediaTek Dimensity 7300-Energy 5G 8 nhân,12 GB,512 GB,5000 mAh,80 W
Mobell F309 4G,Mobell,760000,Unisoc T107,48 MB,128 MB,1600 mAh,2.5 W
Samsung Galaxy A36 5G 8GB/128GB,Samsung,7990000,Snapdragon 6 Gen 3 8 nhân,8 GB,128 GB,5000 mAh,45 W
vivo Y03 4GB/128GB,vivo,3290000,,4 GB,128 GB,5000 mAh,15 W
Samsung Galaxy M35 5G 8GB/256GB,Samsung,8790000,,8 GB,256 GB,6000 mAh,25 W
Mobell M539,Mobell,700000,Unisoc T107,48 MB,128 MB,2000 mAh,2.5 W
Samsung Galaxy A06 5G 6GB/128GB,Samsung,6390000,Exynos 1380 8 nhân,6 GB,,5000 mAh,25 W
Samsung Galaxy S25 Plus 5G 12GB/256GB,Samsung,22790000,Qualcomm Snapdragon 8 Elite For Galaxy 8 nhân,12 GB,256 GB,4900 mAh,45 W
HONOR X7c 8GB/256GB,HONOR,4990000,,8 GB,256 GB,6000 mAh,35 W
OPPO Reno12 Pro 5G 12GB/512GB,OPPO,13990000,MediaTek Dimensity 7300-Energy 5G 8 nhân,12 GB,512 GB,5000 mAh,80 W
Nokia 3210 4G,Nokia,1590000,Unisoc T107 8 nhân,64 MB,128 MB,1450 mAh,Đang cập nhật
Mobell M331 4G,Mobell,550000,Unisoc T107,48 MB,128 MB,1000 mAh,2.5 W
Xiaomi Redmi Note 14 5G 8GB/256GB,Xiaomi,7290000,MediaTek Dimensity 7025-Ultra 5G 8 nhân,8 GB,256 GB,5110 mAh,45 W
Samsung Galaxy A55 5G 12GB/256GB,Samsung,9690000,Exynos 1480 8 nhân,12 GB,256 GB,5000 mAh,25 W
Tecno Spark 30C 6GB/128GB,Tecno,2990000,MediaTek Helio G81 8 nhân,6 GB,128 GB,5000 mAh,18 W
Samsung Galaxy Z Flip6 5G 12GB/256GB,Samsung,18490000,Snapdragon 8 Gen 3 for Galaxy,12 GB,256 GB,4000 mAh,25 W
Mobell F209,Mobell,620000,Unisoc T107,48 MB,128 MB,1500 mAh,2.5 W
Samsung Galaxy A16 8GB/128GB,Samsung,5390000,,8 GB,128 GB,5000 mAh,25 W
Masstel Fami 60S 4G,Masstel,700000,Unisoc T107 8 nhân,48 MB,128 MB,2300 mAh,2.5 W
vivo Y100 8GB/256GB,vivo,6490000,,8 GB,256 GB,5000 mAh,80 W
vivo Y18 4GB/128GB,vivo,3790000,,4 GB,128 GB,5000 mAh,15 W
OPPO Find N3 Flip 5G 12GB/256GB Hồng,OPPO,16490000,,12 GB,256 GB,4300 mAh,44 W
OPPO Reno12 F 5G 12GB/256GB,OPPO,9190000,MediaTek Dimensity 6300 5G 8 nhân,12 GB,256 GB,5000 mAh,45 W
Itel it9310,Itel,650000,,16 MB,16 MB,2000 mAh,1.75 W
OPPO A38 6GB/128GB,OPPO,3890000,,6 GB,128 GB,5000 mAh,33 W
Itel it9211,Itel,490000,,,1000 mAh,1000 mAh,1.75 W
HONOR 200 5G 12GB/256GB,HONOR,11990000,Snapdragon 7 Gen 3 8 nhân,12 GB,256 GB,5200 mAh,100 W
Samsung Galaxy M15 5G 4GB/128GB,Samsung,4690000,,4 GB,128 GB,6000 mAh,25 W
iPhone 15 Pro 1TB,iPhone,37990000,,8 GB,1 TB,3274 mAh,20 W
OPPO Find N3 5G 16GB/512GB,OPPO,32490000,,16 GB,512 GB,4805 mAh,67 W
OPPO A58 8GB/128GB,OPPO,4790000,,8 GB,128 GB,5000 mAh,33 W
HONOR Magic V3 5G 12GB/512GB,HONOR,37990000,Snapdragon 8 Gen 3 8 nhân,12 GB,512 GB,5150 mAh,66 W
HONOR X8c 8GB/256GB,HONOR,,Snapdragon 685 8 nhân,8 GB,,5000 mAh,35 W
Xiaomi Redmi A5 3GB/64GB,Xiaomi,2490000,Đang cập nhật,3 GB,64 GB,Đang cập nhật,Đang cập nhật
Samsung Galaxy S25 Edge 5G 12GB/256GB,Samsung,,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật
